sampleID	task	realtime_M	cpu	peak_rss_G
mg_sample_1	MetaBinner	25.3	43.075	1.9
mg_sample_18	COMEBin	66.21666666666667	77.8375	14.2
mg_sample_19	MetaBinner	55.45	48.5	2.2
mg_sample_20	MetaBinner	40.25	44.425	1.8
mg_sample_21	MetaBinner	33.4	37.9	1.7
mg_sample_13	binny	302.65	4.15625	1.1
mg_sample_2	MetaBinner	32.86666666666667	37.85	1.7
mg_sample_6	MetaBinner	48.53333333333333	44.3	2.2
mg_sample_1	COMEBin	89.16666666666667	76.3875	14.1
mg_sample_5	MetaBinner	42.86666666666667	42.175	2.1
mg_sample_15	COMEBin	223.03333333333333	85.1625	14.6
mg_sample_2	COMEBin	72.18333333333334	76.8	14.1
mg_sample_22	MetaBinner	69.03333333333333	49.225	2.6
mg_sample_8	MetaBinner	31.216666666666665	27.1375	2.4
mg_sample_20	COMEBin	119.28333333333333	81.325	14.3
mg_sample_10	binny	348.28333333333336	4.5	1.4
mg_sample_7	MetaBinner	45.983333333333334	30.2125	1.9
mg_sample_21	COMEBin	118.6	84.375	14.1
mg_sample_9	MetaBinner	34.1	40.4375	2.4
mg_sample_17	MetaBAT2	5.85	48.4125	0.26005859375
mg_sample_17	SemiBin2	11.116666666666667	32.0	38.0
mg_sample_14	MetaBAT2	6.3	51.30625	0.27265625
mg_sample_18	MetaBAT2	0.08333333333333333	52.48125	0.07177734375
mg_sample_14	COMEBin	185.06666666666666	83.25	14.7
mg_sample_18	CONCOCT	4.666666666666667	32.4875	0.25146484375
mg_sample_18	SemiBin2	5.85	18.68125	10.9
mg_sample_1	MetaBAT2	1.3666666666666667	52.8	0.1224609375
mg_sample_19	MetaBAT2	6.0	49.21875	0.25302734375
mg_sample_14	SemiBin2	12.716666666666667	28.4625	40.3
mg_sample_20	MetaBAT2	2.4166666666666665	51.175	0.15576171875
mg_sample_19	SemiBin2	12.116666666666667	29.31875	40.3
mg_sample_1	SemiBin2	7.283333333333333	23.6625	16.8
mg_sample_1	CONCOCT	10.733333333333333	67.9625	0.22236328125
mg_sample_21	MetaBAT2	1.1166666666666667	51.13125	0.1279296875
mg_sample_5	COMEBin	115.85	82.1375	14.4
mg_sample_17	CONCOCT	27.483333333333334	81.6375	0.43798828125
mg_sample_2	MetaBAT2	0.08333333333333333	51.90625	0.11318359375
mg_sample_20	SemiBin2	9.066666666666666	26.8875	24.0
mg_sample_21	SemiBin2	6.483333333333333	23.65	15.7
mg_sample_6	MetaBAT2	3.65	57.26875	0.20439453125
mg_sample_21	CONCOCT	6.7	55.99375	0.21689453125
